obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"422.381"	"0.002"	"422.39634"	"0.00004"	""	"2.80e+05"	"1.87e-04"	"-3.13"	B	"2.104429202"	"[5.03886016]"	"2p6.3p"	"2P*"	"3/2"	"2p6.13s"	"2S"	"1/2"		"T7799"	"L9493"	
"424.2082"	"0.0008"	"424.20759"	"0.00004"	"3*"	"2.22e+05"	"1.50e-04"	"-3.22"	B	"2.104429202"	"[5.02633118]"	"2p6.3p"	"2P*"	"3/2"	"2p6.11d"	"2D"	"3/2"		"T7799"	"L6096"	
"424.2082"	"0.0008"	"424.20763"	"0.00004"	"3*"	"1.99e+06"	"1.34e-03"	"-2.27"	B	"2.104429202"	"[5.02633094]"	"2p6.3p"	"2P*"	"3/2"	"2p6.11d"	"2D"	"5/2"		"T7799"	"L6096"	
"425.2520"	"0.0008"	"425.25165"	"0.00004"	"2"	"3.68e+05"	"2.50e-04"	"-3.00"	B	"2.104429202"	"5.01915758"	"2p6.3p"	"2P*"	"3/2"	"2p6.12s"	"2S"	"1/2"		"T7799"	"L6096"	
"425.38"	"0.02"	"425.376"	"0.013"	"17"	"3.e+07"	"2.e-02"	"-1"	D	"33.3390"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"427.3642"	"0.0008"	"427.36265"	"0.00004"	"4"	"1.56e+06"	"2.14e-03"	"-2.368"	C	"2.102297177"	"5.00262826"	"2p6.3p"	"2P*"	"1/2"	"2p6.10d"	"2D"	"3/2"		"c58,LS"	"L6096"	
"427.39"	"0.02"	"427.380"	"0.013"	"23"	"6.4e+07"	"4.4e-02"	"-0.75"	D	"33.3390"	"36.2392"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"427.6787"	"0.0008"	"427.67704"	"0.00004"	"5*"	"3.1e+05"	"2.1e-04"	"-3.07"	C	"2.104429202"	"5.00262826"	"2p6.3p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"3/2"		"c58,LS"	"L6096"	
"427.6787"	"0.0008"	"427.67709"	"0.00004"	"5*"	"2.81e+06"	"1.93e-03"	"-2.112"	C	"2.104429202"	"5.00262788"	"2p6.3p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"5/2"		"c58,LS"	"L6096"	
"428.67"	"0.02"	"428.655"	"0.013"	"46"	"5.6e+07"	"3.9e-02"	"-0.81"	D	"33.3390"	"36.2306"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"1/2"		"T5209"	"L6269"	
