obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""766.489913""","=""766.48991""","=""0.00003""","=""25r""","=""1.512e+08""","=""6.661e-01""","=""0.1246""",AAA,"=""0.00000000""","=""1.6171130092""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.4p""","=""2P*""","=""3/2""",,"=""T9745""","=""L8995""",
"=""769.896456""","=""769.89646""","=""0.00003""","=""24r""","=""7.468e+07""","=""3.3201e-01""","=""-0.1778""",AAA,"=""0.00000000""","=""1.60995784350""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.4p""","=""2P*""","=""1/2""",,"=""T9745""","=""L8995""",
"=""""","=""772.2111""","=""0.0003""","=""""","=""3.6e+04""","=""1.6e-04""","=""-3.50""",C,"=""2.6069601""","=""4.2120922""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.12p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
"=""""","=""772.2474""","=""0.0003""","=""""","=""1.8e+04""","=""8.0e-05""","=""-3.80""",E,"=""2.6069601""","=""4.2120168""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.12p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
"=""""","=""786.5176""","=""0.0004""","=""""","=""5.2e+04""","=""2.4e-04""","=""-3.32""",C,"=""2.6069601""","=""4.1828956""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.11p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
"=""""","=""786.5689""","=""0.0004""","=""""","=""2.6e+04""","=""1.2e-04""","=""-3.62""",C,"=""2.6069601""","=""4.1827927""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.11p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
"=""""","=""803.7580""","=""0.0004""","=""""","=""8.0e+04""","=""1.3e-04""","=""-3.11""",C,"=""2.6699600""","=""4.2120922""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.12p""","=""2P*""","=""3/2""",,"=""T817LS""","=""""",
"=""""","=""803.9072""","=""0.0004""","=""""","=""9.2e+03""","=""2.2e-05""","=""-4.05""",E,"=""2.6702462""","=""4.2120922""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.12p""","=""2P*""","=""3/2""",,"=""T817LS""","=""""",
"=""""","=""803.9465""","=""0.0004""","=""""","=""4.6e+04""","=""1.1e-04""","=""-3.35""",C,"=""2.6702462""","=""4.2120168""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.12p""","=""2P*""","=""1/2""",,"=""T817LS""","=""""",
"=""""","=""807.2163""","=""0.0004""","=""""","=""6.404e+04""","=""3.13e-04""","=""-3.203""",B+,"=""2.6069601""","=""4.1424855""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.10p""","=""2P*""","=""3/2""",,"=""T9168""","=""""",
"=""""","=""807.2924""","=""0.0004""","=""""","=""2.912e+04""","=""1.424e-04""","=""-3.546""",A,"=""2.6069601""","=""4.1423407""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.10p""","=""2P*""","=""1/2""",,"=""T9168""","=""""",
"=""""","=""819.2690""","=""0.0004""","=""""","=""1.1e+05""","=""1.9e-04""","=""-2.95""",C,"=""2.6699600""","=""4.1828956""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.11p""","=""2P*""","=""3/2""",,"=""T817LS""","=""""",
"=""""","=""819.4240""","=""0.0004""","=""""","=""1.2e+04""","=""3.1e-05""","=""-3.90""",E,"=""2.6702462""","=""4.1828956""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.11p""","=""2P*""","=""3/2""",,"=""T817LS""","=""""",
"=""""","=""819.4798""","=""0.0004""","=""""","=""6.2e+04""","=""1.6e-04""","=""-3.20""",C,"=""2.6702462""","=""4.1827927""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.11p""","=""2P*""","=""1/2""",,"=""T817LS""","=""""",
"=""825.018""","=""825.016""","=""0.004""","=""9bl*""","=""7.7e+06""","=""1.3e-02""","=""-1.11""",B+,"=""2.6699600""","=""4.172356""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.9f""","=""2F*""","=""7/2""",,"=""T817LS""","=""L6096""",
"=""825.018""","=""825.016""","=""0.004""","=""9bl*""","=""3.8e+05""","=""6.5e-04""","=""-2.41""",C+,"=""2.6699600""","=""4.172356""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.9f""","=""2F*""","=""5/2""",,"=""T817LS""","=""L6096""",
"=""825.174""","=""825.174""","=""0.004""","=""8""","=""5.3e+06""","=""1.4e-02""","=""-1.26""",C+,"=""2.6702462""","=""4.172356""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.9f""","=""2F*""","=""5/2""",,"=""T817LS""","=""L6096""",
"=""839.022""","=""839.0212""","=""0.0004""","=""3""","=""1.08e+05""","=""5.73e-04""","=""-2.941""",B+,"=""2.6069601""","=""4.0842783""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.9p""","=""2P*""","=""3/2""",,"=""T9168""","=""L6096""",
"=""""","=""839.1426""","=""0.0004""","=""m""","=""4.94e+04""","=""2.61e-04""","=""-3.283""",B+,"=""2.6069601""","=""4.0840647""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.9p""","=""2P*""","=""1/2""",,"=""T9168""","=""L6096""",
"=""841.754""","=""841.7521""","=""0.0004""","=""2""","=""1.92e+05""","=""3.41e-04""","=""-2.690""",A,"=""2.6699600""","=""4.1424855""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.10p""","=""2P*""","=""3/2""",,"=""T9168""","=""L6096""",
"=""""","=""841.9157""","=""0.0004""","=""""","=""2.12e+04""","=""5.63e-05""","=""-3.648""",A,"=""2.6702462""","=""4.1424855""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.10p""","=""2P*""","=""3/2""",,"=""T9168""","=""""",
"=""842.000""","=""841.9985""","=""0.0004""","=""1""","=""1.05e+05""","=""2.79e-04""","=""-2.952""",A,"=""2.6702462""","=""4.1423407""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.10p""","=""2P*""","=""1/2""",,"=""T9168""","=""L6096""",
"=""850.345""","=""850.344""","=""0.004""","=""11bl*""","=""1.06e+07""","=""1.91e-02""","=""-0.941""",B+,"=""2.6699600""","=""4.127608""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.8f""","=""2F*""","=""7/2""",,"=""T8262""","=""L6096""",
"=""850.345""","=""850.344""","=""0.004""","=""11bl*""","=""5.28e+05""","=""9.54e-04""","=""-2.242""",B+,"=""2.6699600""","=""4.127608""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.8f""","=""2F*""","=""5/2""",,"=""T8262""","=""L6096""",
"=""850.511""","=""850.511""","=""0.004""","=""10""","=""7.38e+06""","=""2.00e-02""","=""-1.096""",B+,"=""2.6702462""","=""4.127608""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.8f""","=""2F*""","=""5/2""",,"=""T8262""","=""L6096""",
"=""876.396""","=""876.3951""","=""0.0004""","=""4""","=""2.85e+05""","=""5.48e-04""","=""-2.483""",A,"=""2.6699600""","=""4.0842783""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.9p""","=""2P*""","=""3/2""",,"=""T9168""","=""L6096""",
"=""""","=""876.5724""","=""0.0004""","=""""","=""3.19e+04""","=""9.19e-05""","=""-3.435""",A+,"=""2.6702462""","=""4.0842783""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.9p""","=""2P*""","=""3/2""",,"=""T9168""","=""""",
"=""876.705""","=""876.7049""","=""0.0004""","=""3""","=""1.56e+05""","=""4.50e-04""","=""-2.745""",A,"=""2.6702462""","=""4.0840647""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.9p""","=""2P*""","=""1/2""",,"=""T9168""","=""L6096""",
"=""890.219""","=""890.218""","=""0.005""","=""13bl*""","=""1.642e+07""","=""3.253e-02""","=""-0.7096""",AA,"=""2.6699600""","=""4.062317""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.7f""","=""2F*""","=""7/2""",,"=""T9168""","=""L6096""",
"=""890.219""","=""890.218""","=""0.005""","=""13bl*""","=""8.214e+05""","=""1.627e-03""","=""-2.0104""",AA,"=""2.6699600""","=""4.062317""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.7f""","=""2F*""","=""5/2""",,"=""T9168""","=""L6096""",
