Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5p6.13p""","=""2P*""","=""3/2""","=""""","=""3.7411213""","=""""","=""0.0000004""","=""0.0010551""","=""L7057,L6284"""
"=""5p6.12d""","=""2D""","=""3/2""","=""""","=""3.74392558""","=""""","=""0.00000006""","=""0.0028043""","=""L6147"""
"=""5p6.12d""","=""2D""","=""5/2""","=""""","=""3.744210985""","=""""","=""0.000000025""","=""0.00028541""","=""L7057"""
"=""5p6.14s""","=""2S""","=""1/2""","=""""","=""3.756429242""","=""""","=""0.000000025""","=""0.01221826""","=""L7057"""
"=""5p6.10f""","=""2F*""","=""7/2""","=""""","=""3.756986073""","=""""","=""0.000000021""","=""0.00055683""","=""L7057,L4940"""
"=""5p6.10f""","=""2F*""","=""5/2""","=""""","=""3.756989684""","=""""","=""0.000000019""","=""0.00000361""","=""L7057"""
"=""5p6.10g""","=""2G""","=""7/2""","=""""","=""3.757671026""","=""""","=""0.000000019""","=""0.00068134""","=""L7057"""
"=""5p6.10g""","=""2G""","=""9/2""","=""""","=""3.75767114""","=""""","=""0.00000025""","=""0.0000001""","=""L7057,L5289"""
"=""5p6.14p""","=""2P*""","=""1/2""","=""""","=""3.768235852""","=""""","=""0.000000019""","=""0.0105647""","=""L7057"""
"=""5p6.14p""","=""2P*""","=""3/2""","=""""","=""3.7690159""","=""""","=""0.0000004""","=""0.0007800""","=""L7057,L6284"""
"=""5p6.13d""","=""2D""","=""3/2""","=""""","=""3.77107279""","=""""","=""0.00000006""","=""0.0020569""","=""L6147"""
"=""5p6.13d""","=""2D""","=""5/2""","=""""","=""3.771284489""","=""""","=""0.000000025""","=""0.00021170""","=""L7057"""
"=""5p6.15s""","=""2S""","=""1/2""","=""""","=""3.780405103""","=""""","=""0.000000025""","=""0.00912061""","=""L7057"""
"=""5p6.11f""","=""2F*""","=""7/2""","=""""","=""3.780807106""","=""""","=""0.000000021""","=""0.00040200""","=""L7057,L4940"""
"=""5p6.11f""","=""2F*""","=""5/2""","=""""","=""3.780809866""","=""""","=""0.000000019""","=""0.00000276""","=""L7057"""
"=""5p6.11g""","=""2G""","=""9/2""","=""""","=""3.78132657""","=""""","=""0.00000025""","=""0.0005167""","=""L7057,L5289"""
"=""5p6.11g""","=""2G""","=""7/2""","=""""","=""3.781326738""","=""""","=""0.000000019""","=""0.0000002""","=""L7057"""
