Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p6.19f""","=""2F*""","=""5/2,7/2""","=""[""","=""5.10138254""","=""]""","=""0.00000025""","=""0.0000527""","=""                                                                                              ""","="""""
"=""2p6.19g""","=""2G""","=""7/2,9/2""","=""[""","=""5.10138725""","=""]""","=""0.00000025""","=""0.0000047""","=""                                                                                              ""","="""""
"=""2p6.20p""","=""2P*""","=""1/2""","=""[""","=""5.10195472""","=""]""","=""0.00000025""","=""0.0005675""","=""                                                                                              ""","="""""
"=""2p6.20p""","=""2P*""","=""3/2""","=""[""","=""5.10195795""","=""]""","=""0.00000025""","=""0.0000032""","=""                                                                                              ""","="""""
"=""2p6.20d""","=""2D""","=""3/2""","=""[""","=""5.10501280""","=""]""","=""0.00000025""","=""0.0030548""","=""                                                                                              ""","="""""
"=""2p6.20d""","=""2D""","=""5/2""","=""[""","=""5.10501280""","=""]""","=""0.00000025""","=""0.0000000""","=""                                                                                              ""","="""""
"=""2p6.20f""","=""2F*""","=""5/2,7/2""","=""[""","=""5.10505805""","=""]""","=""0.00000025""","=""0.0000453""","=""                                                                                              ""","="""""
"=""2p6.20g""","=""2G""","=""7/2,9/2""","=""[""","=""5.10506202""","=""]""","=""0.00000025""","=""0.0000040""","=""                                                                                              ""","="""""
"=""Na II (2p6 1S<0>)""","=""Limit""","=""---""","=""""","=""5.13907696""","=""""","=""0.00000025""","=""""","=""                                                                                              ""","=""L10921,L9648"""
"=""2p5.3s2""","=""2P*""","=""3/2""","=""""","=""30.7692""","=""""","=""0.0006""","=""25.6301""","=""  93                                               :     6  2p5.(2P*).3p2.(1S)    2P*         ""","="""""
"=""2p5.3s2""","=""2P*""","=""1/2""","=""""","=""30.9327""","=""""","=""0.0015""","=""0.163""","=""  93                                               :     6  2p5.(2P*).3p2.(1S)    2P*         ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""""","=""32.7002""","=""""","=""0.0005""","=""1.768""","=""  97                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""""","=""33.0525""","=""""","=""0.0005""","=""0.3523""","=""  98                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""""","=""33.0956""","=""""","=""0.0005""","=""0.0431""","=""  93                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""""","=""33.1388""","=""""","=""0.0005""","=""0.0432""","=""  90                                               :     5                        2D          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","=""""","=""33.1752""","=""""","=""0.0005""","=""0.0364""","=""  94                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""""","=""33.2915""","=""""","=""0.0005""","=""0.1163""","=""  82                                               :    17                        2D          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""""","=""33.3390""","=""""","=""0.0005""","=""0.0475""","=""  49                                               :    45                        2D          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""1/2""","=""""","=""33.3625""","=""""","=""0.0005""","=""0.0235""","=""  94                                                                                          ""","="""""
