Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4p6.54d""","=""2D""","=""3/2""","=""""","=""4.17225""","=""""","=""0.00004""","=""0.00006""","=""L9039"""
"=""4p6.54d""","=""2D""","=""5/2""","=""""","=""4.17225""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.56p""","=""2P*""","=""1/2""","=""""","=""4.172367""","=""""","=""0.000007""","=""0.00012""","=""L9039"""
"=""4p6.56p""","=""2P*""","=""3/2""","=""""","=""4.172367""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.57p""","=""2P*""","=""1/2""","=""""","=""4.172539""","=""""","=""0.000007""","=""0.000172""","=""L9039"""
"=""4p6.57p""","=""2P*""","=""3/2""","=""""","=""4.172539""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.58p""","=""2P*""","=""1/2""","=""""","=""4.172702""","=""""","=""0.000007""","=""0.000163""","=""L9039"""
"=""4p6.58p""","=""2P*""","=""3/2""","=""""","=""4.172702""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.59p""","=""2P*""","=""3/2""","=""""","=""4.172861""","=""""","=""0.000007""","=""0.000159""","=""L9039"""
"=""4p6.59p""","=""2P*""","=""1/2""","=""""","=""4.172861""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.60p""","=""2P*""","=""1/2""","=""""","=""4.173004""","=""""","=""0.000007""","=""0.000143""","=""L9039"""
"=""4p6.60p""","=""2P*""","=""3/2""","=""""","=""4.173004""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.61p""","=""2P*""","=""1/2""","=""""","=""4.173146""","=""""","=""0.000007""","=""0.000142""","=""L9039"""
"=""4p6.61p""","=""2P*""","=""3/2""","=""""","=""4.173146""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.62p""","=""2P*""","=""1/2""","=""""","=""4.173283""","=""""","=""0.000007""","=""0.000137""","=""L9039"""
"=""4p6.62p""","=""2P*""","=""3/2""","=""""","=""4.173283""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.63p""","=""2P*""","=""1/2""","=""""","=""4.173410""","=""""","=""0.000007""","=""0.000127""","=""L9039"""
"=""4p6.63p""","=""2P*""","=""3/2""","=""""","=""4.173410""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.64p""","=""2P*""","=""1/2""","=""""","=""4.173533""","=""""","=""0.000007""","=""0.000123""","=""L9039"""
"=""4p6.64p""","=""2P*""","=""3/2""","=""""","=""4.173533""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.65p""","=""2P*""","=""3/2""","=""""","=""4.173647""","=""""","=""0.000007""","=""0.000114""","=""L9039"""
"=""4p6.65p""","=""2P*""","=""1/2""","=""""","=""4.173647""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.66p""","=""2P*""","=""3/2""","=""""","=""4.173758""","=""""","=""0.000007""","=""0.000111""","=""L9039"""
"=""4p6.66p""","=""2P*""","=""1/2""","=""""","=""4.173758""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.67p""","=""2P*""","=""3/2""","=""""","=""4.173864""","=""""","=""0.000007""","=""0.000106""","=""L9039"""
"=""4p6.67p""","=""2P*""","=""1/2""","=""""","=""4.173864""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.68p""","=""2P*""","=""3/2""","=""""","=""4.173963""","=""""","=""0.000007""","=""0.000099""","=""L9039"""
"=""4p6.68p""","=""2P*""","=""1/2""","=""""","=""4.173963""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.69p""","=""2P*""","=""3/2""","=""""","=""4.174057""","=""""","=""0.000007""","=""0.000094""","=""L9039"""
"=""4p6.69p""","=""2P*""","=""1/2""","=""""","=""4.174057""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.70p""","=""2P*""","=""3/2""","=""""","=""4.174149""","=""""","=""0.000007""","=""0.000092""","=""L9039"""
"=""4p6.70p""","=""2P*""","=""1/2""","=""""","=""4.174149""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.71p""","=""2P*""","=""3/2""","=""""","=""4.174237""","=""""","=""0.000007""","=""0.000088""","=""L9039"""
"=""4p6.71p""","=""2P*""","=""1/2""","=""""","=""4.174237""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.72p""","=""2P*""","=""3/2""","=""""","=""4.174314""","=""""","=""0.000007""","=""0.000077""","=""L9039"""
"=""4p6.72p""","=""2P*""","=""1/2""","=""""","=""4.174314""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.73p""","=""2P*""","=""1/2""","=""""","=""4.174398""","=""""","=""0.000007""","=""0.000084""","=""L9039"""
"=""4p6.73p""","=""2P*""","=""3/2""","=""""","=""4.174398""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.74p""","=""2P*""","=""1/2""","=""""","=""4.174469""","=""""","=""0.000007""","=""0.000071""","=""L9039"""
"=""4p6.74p""","=""2P*""","=""3/2""","=""""","=""4.174469""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.75p""","=""2P*""","=""1/2""","=""""","=""4.174549""","=""""","=""0.000007""","=""0.000080""","=""L9039"""
"=""4p6.75p""","=""2P*""","=""3/2""","=""""","=""4.174549""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.76p""","=""2P*""","=""3/2""","=""""","=""4.174624""","=""""","=""0.000007""","=""0.000075""","=""L9039"""
