Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Reference
"=""3d5.(2G1).4p""","=""s 3H*""","=""6""","=""""","=""7.5867887""","=""""","=""0.0000004""","=""""","=""  35             :    27  3d5.(2H).4p           1I*  ""","=""L18327,L7185"""
"=""""","=""r 5P*""","=""1""","=""""","=""7.571198""","=""""","=""0.000007""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""r 5P*""","=""2""","=""""","=""7.576410""","=""""","=""0.000016""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""r 5P*""","=""3""","=""""","=""7.587677""","=""""","=""0.000019""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(2H).4p""","=""r 3G*""","=""3""","=""""","=""7.5727286""","=""""","=""0.0000006""","=""""","=""  24             :    19  3d5.(2F2).4p          3G*  ""","=""L18327,L7185"""
"=""3d5.(2H).4p""","=""r 3G*""","=""4""","=""""","=""7.5782999""","=""""","=""0.0000004""","=""""","=""  19             :    15  3d5.(2F2).4p          3G*  ""","=""L18327,L7185"""
"=""3d5.(2H).4p""","=""r 3G*""","=""5""","=""""","=""7.5830365""","=""""","=""0.0000017""","=""""","=""  15             :    15  3d5.(2G1).4p          3H*  ""","=""L18327,L7185"""
"=""3d4.(1D1).4s.4p.(3P*)""","=""t 3P*""","=""0""","=""""","=""7.611115""","=""""","=""0.000011""","=""""","=""  77             :     7  3d5.(2D1).4p          3P*  ""","=""L18327,L7185"""
"=""3d4.(1D1).4s.4p.(3P*)""","=""t 3P*""","=""1""","=""""","=""7.628414""","=""""","=""0.000006""","=""""","=""  65             :     8  3d5.(2D1).4p          3P*  ""","=""L18327,L7185"""
"=""3d4.(1D1).4s.4p.(3P*)""","=""t 3P*""","=""2""","=""""","=""7.646820""","=""""","=""0.000009""","=""""","=""  58             :     8  3d3.(4F).4s2.4p       5F*  ""","=""L18327,L7185"""
"=""3d4.4s.5s""","=""e 5P""","=""1""","=""""","=""7.632230""","=""""","=""0.000019""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""e 5P""","=""2""","=""""","=""7.648289""","=""""","=""0.000011""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""e 5P""","=""3""","=""""","=""7.66842""","=""""","=""0.00004""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4F).4p""","=""q 3G*""","=""3""","=""""","=""7.678348""","=""""","=""0.000006""","=""""","=""  48             :    15  3d4.(3G).4s.4p.(1P*)  3G*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""q 3G*""","=""5""","=""""","=""7.6916703""","=""""","=""0.0000004""","=""""","=""  31             :    15  3d4.(3G).4s.4p.(1P*)  3H*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""3G*""","=""4""","=""""","=""7.684110""","=""""","=""0.000009""","=""""","=""  32             :    20  3d3.(4F).4s2.4p       5F*  ""","=""L18327,L7185"""
"=""3d4.4p2""","=""f 7F""","=""3""","=""""","=""7.691277""","=""""","=""0.000014""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4p2""","=""f 7F""","=""4""","=""""","=""7.7104202""","=""""","=""0.0000014""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4p2""","=""f 7F""","=""5""","=""""","=""7.74565""","=""""","=""0.00004""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4p2""","=""f 7F""","=""6""","=""""","=""7.768654""","=""""","=""0.000010""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4G).4d""","=""f 5G""","=""2""","=""""","=""7.767190""","=""""","=""0.000015""","=""""","=""                                                     ""","=""L18327"""
